step,grid_8_H_global,grid_16_H_global,grid_32_H_global,rbf_200_H_global,grid_8_H_tip,grid_16_H_tip,grid_32_H_tip,rbf_200_H_tip,grid_8_d_global,grid_16_d_global,grid_32_d_global,rbf_200_d_global
29,3.89294014e+00,3.68300739e+00,3.54822348e+00,4.40019656e+00,5.24295553e+00,4.66859140e+00,4.59579895e+00,5.31560955e+00,5.25746719e-01,4.92944706e-01,3.90503213e-01,7.67970580e-01
30,3.89711594e+00,3.70305095e+00,3.58195553e+00,4.37000594e+00,5.26347442e+00,4.73914940e+00,4.67009435e+00,5.33333130e+00,5.34481681e-01,5.07453244e-01,4.02155980e-01,7.74060340e-01
31,3.90105701e+00,3.72314615e+00,3.60878666e+00,4.35630005e+00,5.28290404e+00,4.80389803e+00,4.73084868e+00,5.34804067e+00,5.42876915e-01,5.20789165e-01,4.12992763e-01,7.79262824e-01
32,3.90476593e+00,3.74205404e+00,3.63077056e+00,4.35292970e+00,5.30123276e+00,4.86150270e+00,4.78172086e+00,5.35456543e+00,5.50970199e-01,5.33119782e-01,4.23122387e-01,7.83651163e-01
33,3.90824947e+00,3.75926244e+00,3.64923618e+00,4.35579265e+00,5.31847809e+00,4.91192938e+00,4.82515659e+00,5.36017959e+00,5.58790043e-01,5.44554453e-01,4.32634022e-01,7.87196766e-01
34,3.91151703e+00,3.77464300e+00,3.66506513e+00,4.36176625e+00,5.33467645e+00,4.95571781e+00,4.86283654e+00,5.36503052e+00,5.66357118e-01,5.55221040e-01,4.41600790e-01,7.90260903e-01
35,3.91457965e+00,3.78825999e+00,3.67885938e+00,4.36907591e+00,5.34987595e+00,4.99361908e+00,4.89594983e+00,5.36923516e+00,5.73686516e-01,5.65241451e-01,4.50083300e-01,7.92934180e-01
36,3.91744915e+00,3.80026496e+00,3.69104240e+00,4.37531077e+00,5.36413129e+00,5.02641882e+00,4.92536198e+00,5.37288621e+00,5.80788534e-01,5.74711102e-01,4.58132492e-01,7.95379338e-01
37,3.92013770e+00,3.81084020e+00,3.70192091e+00,4.38250392e+00,5.37750021e+00,5.05485580e+00,4.95171984e+00,5.37607155e+00,5.87670150e-01,5.83698394e-01,4.65791981e-01,7.97599212e-01
38,3.92265737e+00,3.82016936e+00,3.71172317e+00,4.39188002e+00,5.39004106e+00,5.07958910e+00,4.97551844e+00,5.37887865e+00,5.94336361e-01,5.92253891e-01,4.73099431e-01,7.99617213e-01
39,3.92501993e+00,3.82842341e+00,3.72062326e+00,4.40479558e+00,5.40181120e+00,5.10118968e+00,4.99714468e+00,5.38136866e+00,6.00790603e-01,6.00418769e-01,4.80087264e-01,8.01489637e-01
40,3.92721531e+00,3.83575479e+00,3.72875683e+00,4.42343443e+00,5.41276498e+00,5.12014369e+00,5.01690657e+00,5.38082237e+00,6.07035740e-01,6.08229439e-01,4.86783660e-01,8.03173843e-01
41,3.92348567e+00,3.84050335e+00,3.73483577e+00,4.45008252e+00,5.39782764e+00,5.13220108e+00,5.02897426e+00,5.37485116e+00,6.13074372e-01,6.15718627e-01,4.93212899e-01,8.04771251e-01
42,3.91495489e+00,3.83070327e+00,3.71699731e+00,4.48761385e+00,5.36177425e+00,5.11909184e+00,5.01250553e+00,5.36647619e+00,6.18909426e-01,6.22915582e-01,4.99396322e-01,8.06307943e-01
43,3.90501203e+00,3.80274825e+00,3.63664180e+00,4.53955048e+00,5.31219161e+00,5.08421373e+00,4.94067088e+00,5.35341230e+00,6.24547331e-01,6.29846389e-01,5.05352785e-01,8.07709226e-01
44,3.89357929e+00,3.76610977e+00,3.54326120e+00,4.60920082e+00,5.25198708e+00,5.02305950e+00,4.82430974e+00,5.33556350e+00,6.30005273e-01,6.36534677e-01,5.11098920e-01,8.09092016e-01
45,3.87951589e+00,3.72267966e+00,3.44719434e+00,4.70123993e+00,5.18608035e+00,4.94560008e+00,4.68552904e+00,5.31470011e+00,6.35309842e-01,6.43002785e-01,5.16650222e-01,8.10648168e-01
46,3.91892462e+00,3.72172654e+00,3.40235867e+00,4.86273267e+00,5.19335348e+00,4.92702149e+00,4.60445525e+00,5.36649602e+00,6.40506788e-01,6.49272394e-01,5.22021311e-01,8.12256634e-01
47,4.52638418e+00,4.23498273e+00,3.89176692e+00,5.51904513e+00,5.97590677e+00,5.58286635e+00,5.24538914e+00,6.20079946e+00,6.45659857e-01,6.55362045e-01,5.27222632e-01,8.13737806e-01
48,5.17528283e+00,4.79378278e+00,4.42236478e+00,6.26471040e+00,6.81299559e+00,6.29863924e+00,5.93974176e+00,7.09543069e+00,6.50831423e-01,6.61302951e-01,5.32278663e-01,8.15027629e-01
49,5.86700497e+00,5.39790916e+00,4.99284667e+00,7.08836770e+00,7.70719063e+00,7.07336537e+00,6.68162874e+00,8.04853599e+00,6.56032133e-01,6.67132625e-01,5.37210352e-01,8.16213405e-01
50,6.61962598e+00,6.05255343e+00,4.79850650e+00,7.99815053e+00,8.66139844e+00,7.91031426e+00,5.59506832e+00,9.02391983e+00,6.61254317e-01,6.72861380e-01,5.42042443e-01,8.17900848e-01
