step,eta_0.00_H_global,eta_0.25_H_global,eta_0.50_H_global,eta_0.75_H_global,eta_1.00_H_global,eta_0.00_H_tip,eta_0.25_H_tip,eta_0.50_H_tip,eta_0.75_H_tip,eta_1.00_H_tip
34,3.77464300e+00,3.68546561e+00,3.64823647e+00,3.62109469e+00,3.65919341e+00,4.95571781e+00,4.88034521e+00,4.81750253e+00,4.73030494e+00,5.24846365e+00
35,3.78825999e+00,3.70364424e+00,3.66897396e+00,3.64744716e+00,3.77213144e+00,4.99361908e+00,4.92324241e+00,4.86949009e+00,4.79999308e+00,5.42297569e+00
36,3.80026496e+00,3.71969597e+00,3.68747323e+00,3.67127227e+00,3.70229312e+00,5.02641882e+00,4.96074395e+00,4.91549835e+00,4.86296112e+00,5.28381286e+00
37,3.81084020e+00,3.73385037e+00,3.70391739e+00,3.69273578e+00,3.52624336e+00,5.05485580e+00,4.99356101e+00,4.95618503e+00,4.91961831e+00,5.02470727e+00
38,3.82016936e+00,3.74631413e+00,3.71851096e+00,3.71201084e+00,3.30104312e+00,5.07958910e+00,5.02233433e+00,4.99214904e+00,4.97043519e+00,4.70404592e+00
39,3.82842341e+00,3.75728065e+00,3.73144326e+00,3.72908063e+00,3.03277460e+00,5.10118968e+00,5.04766063e+00,5.02389626e+00,5.01499522e+00,4.32204137e+00
40,3.83575479e+00,3.76601546e+00,3.73842578e+00,3.69820646e+00,2.72145032e+00,5.12014369e+00,5.06582691e+00,5.03249157e+00,4.98741439e+00,3.87869428e+00
41,3.84050335e+00,3.76619871e+00,3.71254154e+00,3.59881356e+00,2.36709324e+00,5.13220108e+00,5.05644964e+00,4.98795688e+00,4.86078407e+00,3.37400586e+00
42,3.83070327e+00,3.74801183e+00,3.65082524e+00,3.48874716e+00,1.96974997e+00,5.11909184e+00,5.02955492e+00,4.90623111e+00,4.70292930e+00,2.80797855e+00
43,3.80274825e+00,3.69215818e+00,3.57461091e+00,3.36927015e+00,1.52953138e+00,5.08421373e+00,4.97295760e+00,4.79579234e+00,4.52084280e+00,2.18061819e+00
44,3.76610977e+00,3.62218638e+00,3.48921141e+00,3.24278580e+00,1.04677989e+00,5.02305950e+00,4.88285152e+00,4.66373062e+00,4.32282422e+00,1.49194275e+00
45,3.72267966e+00,3.54908902e+00,3.40117238e+00,3.11143715e+00,5.23323648e-01,4.94560008e+00,4.77846481e+00,4.51834624e+00,4.11510620e+00,7.42048706e-01
46,3.72172654e+00,3.52677345e+00,3.36584018e+00,3.03058771e+00,8.48751802e-02,4.92702149e+00,4.73477928e+00,4.43866405e+00,3.97508504e+00,2.38441261e-02
47,4.23498273e+00,4.02536623e+00,3.86307878e+00,3.49130713e+00,8.48759214e-02,5.58286635e+00,5.38400694e+00,5.05503667e+00,4.54739767e+00,2.38502254e-02
48,4.79378278e+00,4.56720850e+00,4.40077549e+00,3.98828151e+00,8.48745227e-02,6.29863924e+00,6.08751687e+00,5.72128878e+00,5.16407166e+00,2.38626572e-02
49,5.39790916e+00,5.15397910e+00,4.83861635e+00,4.51986793e+00,8.48723004e-02,7.07336537e+00,6.84646309e+00,6.44055645e+00,5.82528327e+00,2.38777902e-02
50,6.05255343e+00,5.79006848e+00,4.91206642e+00,4.12829045e+00,8.48697671e-02,7.91031426e+00,7.66709678e+00,6.15363785e+00,5.49414907e+00,2.38939201e-02
