N_mesh,h,ell_over_h,H_global,H_tip,d_global,time_s
32,0.031250,0.99,1.98866819e+00,2.40785362e+00,5.52114581e-01,6.1
64,0.015625,1.98,6.05255343e+00,7.91031426e+00,6.72861380e-01,40.0
