cycle,alpha_max,f_min,alpha_err_B,alpha_err_C,d_err_B,d_err_C
5.4000,1.54983908e+00,3.34277668e-01,3.35948830e-01,2.62344687e-01,1.34596583e-01,1.34596583e-01
5.5000,1.57490407e+00,3.29980856e-01,3.49490743e-01,2.70948855e-01,1.35067219e-01,1.35067219e-01
5.6000,1.57490407e+00,3.29980856e-01,3.56346640e-01,2.75271083e-01,1.35519202e-01,1.35519202e-01
5.7000,1.57490407e+00,3.29980856e-01,3.58943863e-01,2.76841921e-01,1.35953264e-01,1.35953264e-01
5.8000,1.57490407e+00,3.29980856e-01,3.61457184e-01,2.78364283e-01,1.36370107e-01,1.36370107e-01
5.9000,1.57490407e+00,3.29980856e-01,3.63888011e-01,2.79839088e-01,1.36770408e-01,1.36770408e-01
6.0000,1.57490407e+00,3.29980856e-01,3.66237898e-01,2.81267286e-01,1.37154817e-01,1.37154817e-01
6.1000,1.59996906e+00,3.25771736e-01,3.68508524e-01,2.82649876e-01,1.37523959e-01,1.37523959e-01
6.2000,1.66559007e+00,3.15149890e-01,3.74882118e-01,2.86666569e-01,1.37878436e-01,1.37878436e-01
6.3000,1.74670209e+00,3.02767486e-01,3.88047155e-01,2.94933175e-01,1.38218826e-01,1.38218826e-01
6.4000,1.81232309e+00,2.93309412e-01,4.03999134e-01,3.04730149e-01,1.38545684e-01,1.38545684e-01
6.5000,1.83738808e+00,2.89820951e-01,4.17597077e-01,3.12868043e-01,1.38859544e-01,1.38859544e-01
6.6000,1.83738808e+00,2.89820951e-01,4.24565930e-01,3.16972343e-01,1.39160920e-01,1.39160920e-01
6.7000,1.83738808e+00,2.89820951e-01,4.27306282e-01,3.18466734e-01,1.39450306e-01,1.39450306e-01
6.8000,1.83738808e+00,2.89820951e-01,4.29954182e-01,3.19912715e-01,1.39728175e-01,1.39728175e-01
6.9000,1.83738808e+00,2.89820951e-01,4.32511690e-01,3.21311413e-01,1.39994984e-01,1.39994984e-01
7.0000,1.83738808e+00,2.89820951e-01,4.34980954e-01,3.22663964e-01,1.40251170e-01,1.40251170e-01
7.1000,1.86245307e+00,2.86398404e-01,4.37364189e-01,3.23971531e-01,1.40497153e-01,1.40497153e-01
7.2000,1.92807408e+00,2.77737993e-01,4.43815894e-01,3.27764317e-01,1.40733339e-01,1.40733339e-01
7.3000,2.00918610e+00,2.67598949e-01,4.57009975e-01,3.35570152e-01,1.40960115e-01,1.40960115e-01
7.4000,2.07480710e+00,2.59822491e-01,4.72972981e-01,3.44823446e-01,1.41177856e-01,1.41177856e-01
7.5000,2.09987209e+00,2.56947175e-01,4.86601870e-01,3.52507853e-01,1.41386919e-01,1.41386919e-01
7.6000,2.09987209e+00,2.56947175e-01,4.93649124e-01,3.56381847e-01,1.41587649e-01,1.41587649e-01
7.7000,2.09987209e+00,2.56947175e-01,4.96493474e-01,3.57772650e-01,1.41780376e-01,1.41780376e-01
7.8000,2.09987209e+00,2.56947175e-01,4.99238928e-01,3.59116686e-01,1.41965420e-01,1.41965420e-01
7.9000,2.09987209e+00,2.56947175e-01,5.01888049e-01,3.60415192e-01,1.42143084e-01,1.42143084e-01
8.0000,2.09987209e+00,2.56947175e-01,5.04443439e-01,3.61669395e-01,1.42313663e-01,1.42313663e-01
8.1000,2.12493709e+00,2.54122435e-01,5.06907722e-01,3.62880539e-01,1.42477438e-01,1.42477438e-01
8.2000,2.19055809e+00,2.46957948e-01,5.13412571e-01,3.66444118e-01,1.42634679e-01,1.42634679e-01
8.3000,2.27167011e+00,2.38539240e-01,5.26619753e-01,3.73807916e-01,1.42785647e-01,1.42785647e-01
8.4000,2.33729111e+00,2.32059187e-01,5.42581060e-01,3.82544311e-01,1.42930591e-01,1.42930591e-01
8.5000,2.36235610e+00,2.29658071e-01,5.56224768e-01,3.89793504e-01,1.43069751e-01,1.43069751e-01
8.6000,2.36235610e+00,2.29658071e-01,5.63326570e-01,3.93436583e-01,1.43203357e-01,1.43203357e-01
8.7000,2.36235610e+00,2.29658071e-01,5.66247217e-01,3.94711580e-01,1.43331631e-01,1.43331631e-01
8.8000,2.36235610e+00,2.29658071e-01,5.69064071e-01,3.95942426e-01,1.43454784e-01,1.43454784e-01
8.9000,2.36235610e+00,2.29658071e-01,5.71780082e-01,3.97130393e-01,1.43573020e-01,1.43573020e-01
9.0000,2.36235610e+00,2.29658071e-01,5.74398204e-01,3.98276733e-01,1.43686537e-01,1.43686537e-01
9.1000,2.38742110e+00,2.27296460e-01,5.76921379e-01,3.99382708e-01,1.43795520e-01,1.43795520e-01
9.2000,2.45304210e+00,2.21294383e-01,5.83462332e-01,4.02720779e-01,1.43900153e-01,1.43900153e-01
9.3000,2.53415412e+00,2.14218838e-01,5.96672642e-01,4.09665158e-01,1.44000606e-01,1.44000606e-01
9.4000,2.59977512e+00,2.08755635e-01,6.12624821e-01,4.17913786e-01,1.44097048e-01,1.44097048e-01
9.5000,2.62484012e+00,2.06727496e-01,6.26273206e-01,4.24750277e-01,1.44189638e-01,1.44189638e-01
9.6000,2.62484012e+00,2.06727496e-01,6.33413150e-01,4.28169942e-01,1.44278531e-01,1.44278531e-01
9.7000,2.62484012e+00,2.06727496e-01,6.36390494e-01,4.29326964e-01,1.44363872e-01,1.44363872e-01
9.8000,2.62484012e+00,2.06727496e-01,6.39260277e-01,4.30442969e-01,1.44445804e-01,1.44445804e-01
9.9000,2.62484012e+00,2.06727496e-01,6.42025752e-01,4.31519211e-01,1.44524463e-01,1.44524463e-01
10.0000,2.62484012e+00,2.06727496e-01,6.44690148e-01,4.32556925e-01,1.44599980e-01,1.44599980e-01
10.1000,2.64990511e+00,2.04730700e-01,6.47256656e-01,4.33557347e-01,1.44672480e-01,1.44672480e-01
10.2000,2.71552611e+00,1.99646692e-01,6.53822138e-01,4.36679566e-01,1.44742083e-01,1.44742083e-01
10.3000,2.79663813e+00,1.93636403e-01,6.67029548e-01,4.43229759e-01,1.44808904e-01,1.44808904e-01
10.4000,2.86225914e+00,1.88982928e-01,6.82968575e-01,4.51021314e-01,1.44873056e-01,1.44873056e-01
10.5000,2.88732413e+00,1.87252519e-01,6.96615438e-01,4.57470307e-01,1.44934644e-01,1.44934644e-01
10.6000,2.88732413e+00,1.87252519e-01,7.03782254e-01,4.60679156e-01,1.44993772e-01,1.44993772e-01
10.7000,2.88732413e+00,1.87252519e-01,7.06802378e-01,4.61722346e-01,1.45050536e-01,1.45050536e-01
10.8000,2.88732413e+00,1.87252519e-01,7.09712000e-01,4.62727846e-01,1.45105031e-01,1.45105031e-01
10.9000,2.88732413e+00,1.87252519e-01,7.12514614e-01,4.63696865e-01,1.45157349e-01,1.45157349e-01
11.0000,2.88732413e+00,1.87252519e-01,7.15213665e-01,4.64630586e-01,1.45207576e-01,1.45207576e-01
11.1000,2.91238912e+00,1.85547322e-01,7.17812543e-01,4.65530195e-01,1.45255795e-01,1.45255795e-01
11.2000,2.97801012e+00,1.81198843e-01,7.24394707e-01,4.68449754e-01,1.45302086e-01,1.45302086e-01
11.3000,3.05912214e+00,1.76045151e-01,7.37595756e-01,4.74632294e-01,1.45346528e-01,1.45346528e-01
11.4000,3.12474315e+00,1.72045131e-01,7.53519757e-01,4.81998037e-01,1.45389193e-01,1.45389193e-01
11.5000,3.14980814e+00,1.70555513e-01,7.67161467e-01,4.88086003e-01,1.45430152e-01,1.45430152e-01
11.6000,3.14980814e+00,1.70555513e-01,7.74347396e-01,4.91099429e-01,1.45469474e-01,1.45469474e-01
11.7000,3.14980814e+00,1.70555513e-01,7.77400356e-01,4.92036523e-01,1.45507225e-01,1.45507225e-01
11.8000,3.14980814e+00,1.70555513e-01,7.80340482e-01,4.92939234e-01,1.45543466e-01,1.45543466e-01
11.9000,3.14980814e+00,1.70555513e-01,7.83171463e-01,4.93808707e-01,1.45578258e-01,1.45578258e-01
12.0000,3.14980814e+00,1.70555513e-01,7.85896917e-01,4.94646058e-01,1.45611659e-01,1.45611659e-01
12.1000,3.17487313e+00,1.69086424e-01,7.88520392e-01,4.95452407e-01,1.45643725e-01,1.45643725e-01
12.2000,3.24049414e+00,1.65334734e-01,7.95113929e-01,4.98184227e-01,1.45674509e-01,1.45674509e-01
12.3000,3.32160616e+00,1.60878343e-01,8.08306794e-01,5.04025849e-01,1.45704062e-01,1.45704062e-01
12.4000,3.38722716e+00,1.57411960e-01,8.24215212e-01,5.10996715e-01,1.45732434e-01,1.45732434e-01
12.5000,3.41229215e+00,1.56119360e-01,8.37849784e-01,5.16750251e-01,1.45759671e-01,1.45759671e-01
12.6000,3.41229215e+00,1.56119360e-01,8.45049473e-01,5.19584796e-01,1.45785819e-01,1.45785819e-01
12.7000,3.41229215e+00,1.56119360e-01,8.48128100e-01,5.20425247e-01,1.45810922e-01,1.45810922e-01
12.8000,3.41229215e+00,1.56119360e-01,8.51092016e-01,5.21234470e-01,1.45835021e-01,1.45835021e-01
12.9000,3.41229215e+00,1.56119360e-01,8.53945065e-01,5.22013537e-01,1.45858156e-01,1.45858156e-01
13.0000,3.41229215e+00,1.56119360e-01,8.56691010e-01,5.22763488e-01,1.45880366e-01,1.45880366e-01
13.1000,3.43735714e+00,1.54843661e-01,8.59333528e-01,5.23485368e-01,1.45901689e-01,1.45901689e-01
13.2000,3.50297815e+00,1.51581688e-01,8.65934841e-01,5.26044856e-01,1.45922158e-01,1.45922158e-01
13.3000,3.58409017e+00,1.47699176e-01,8.79118728e-01,5.31571678e-01,1.45941809e-01,1.45941809e-01
13.4000,3.64971117e+00,1.44673232e-01,8.95011788e-01,5.38177597e-01,1.45960674e-01,1.45960674e-01
13.5000,3.67477616e+00,1.43543526e-01,9.08638280e-01,5.43622616e-01,1.45978785e-01,1.45978785e-01
13.6000,3.67477616e+00,1.43543526e-01,9.15848014e-01,5.46294870e-01,1.45996172e-01,1.45996172e-01
13.7000,3.67477616e+00,1.43543526e-01,9.18947084e-01,5.47048624e-01,1.46012863e-01,1.46012863e-01
