N_s,h_s_over_ell,miehe_H_global,bourdin_d_global
4,8.0645,6.43814737e+00,3.75328259e-01
8,4.0323,6.45467429e+00,2.98838038e-01
16,2.0161,5.11969253e+00,2.67147712e-01
32,1.0081,4.91431644e+00,8.06131400e-02
